country_name,country_code,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,economic_freedom_index_2004,economic_freedom_index_2005,economic_freedom_index_2006,economic_freedom_index_2007,economic_freedom_index_2008,economic_freedom_index_2009,economic_freedom_index_2010,economic_freedom_index_2011,economic_freedom_index_2012,economic_freedom_index_2013,economic_freedom_index_2014,democracy_score_2016,democracy_score_2011,democracy_score_2012,democracy_score_2013,democracy_score_2014,democracy_score_2015
Angola,AGO,1041.08684393,1443.99192856,2062.41514943,2878.83714393,3868.5788829,3347.84485034,3529.05348174,4299.01288878,4598.24998765,4804.61688355,4709.31202367,3695.79374815,3110.80818263,,3.81,4.43,4.58,4.43,5.19,5.26,5.13,5.32,5.21,5.08,3.4,3.32,3.35,132,3.35,3.35
Albania,ALB,2416.58823505,2709.14293061,3005.01290332,3603.01368537,4370.53964653,4114.13654491,4094.35883192,4437.17806844,4247.61430826,4414.72313957,4575.76378666,3954.02278326,4146.89625046,6.99,6.98,7.16,7.23,7.24,7.32,7.37,7.25,7.21,7.27,7.4,5.91,5.81,5.67,92,5.67,5.91
United Arab Emirates,ARE,36161.1706068,39439.8019679,42372.2216624,42672.6132295,45758.9055357,33072.5751664,35049.1483168,40462.3120904,42112.2356484,43350.6426817,44449.7403487,39101.7468901,37622.2074576,7.49,7.71,7.87,7.96,7.99,7.72,7.91,8.06,8.08,8.11,7.98,2.75,2.58,2.58,152,2.64,2.75
Argentina,ARG,4251.5743482,5076.88382917,5878.76102735,7193.61763974,8953.35927526,8161.30696649,10276.2604977,12726.9083595,12969.7071239,12976.6364245,12245.2564488,13467.102357,12449.2168521,6.33,5.99,6.11,6.22,6.01,5.97,5.74,5.67,5.15,5.01,4.81,6.96,6.84,6.84,52,6.84,7.02
Armenia,ARM,1191.96191991,1643.75839706,2158.00290895,3138.80870341,4010.02699723,2993.83253109,3218.38165488,3526.97814268,3684.80481033,3843.59121309,3994.7123548,3609.65477583,3606.15205715,7.36,7.31,7.46,7.43,7.6,7.56,7.55,7.71,7.75,7.7,7.71,3.88,4.09,4.09,116,4.13,4.0
Australia,AUS,30472.3797728,34016.7148305,36118.2838131,40991.9828858,49664.6850434,42742.9989812,51874.080482,62245.1002921,67677.6347663,67792.3038621,62214.6091208,56554.0387612,49927.8195095,8.01,8.07,8.11,8.15,8.05,7.94,7.94,7.93,7.87,7.83,7.93,9.01,9.22,9.22,6,9.01,9.01
Austria,AUT,36693.4026205,38242.0425175,40430.9936145,46586.6502529,51386.3766512,47654.1872091,46657.0629005,51126.7413919,48333.5727267,50504.7153222,51322.6399729,43665.0094708,44176.515216,7.9,7.85,7.82,7.78,7.67,7.63,7.54,7.57,7.54,7.51,7.56,8.41,8.49,8.62,13,8.54,8.54
Azerbaijan,AZE,1045.02162987,1578.4023903,2473.08577637,3851.43786871,5574.60380219,4950.29479142,5842.80578359,7189.69122921,7496.335728,7875.75695254,7891.29977559,5500.31038244,3876.93643264,6.24,6.05,6.12,6.13,6.17,6.08,6.01,6.19,6.36,6.34,6.55,2.65,3.15,3.15,=140,2.83,2.71
Burundi,BDI,127.429664803,150.507043369,165.879417561,170.799900472,196.247262831,204.94465019,231.194325649,260.479907338,265.285605131,282.755525208,312.748979387,303.681022254,285.727442065,4.91,5.1,5.6,5.51,5.07,5.5,5.26,5.3,5.32,6.05,6.05,2.4,4.01,3.6,=129,3.33,2.49
Belgium,BEL,35589.7129457,36967.2829204,38852.361034,44403.8313061,48424.589273,44880.5601518,44380.2374108,47702.7741453,44740.5717022,46510.3864702,47439.3968355,40356.8750027,41096.1573022,7.47,7.41,7.38,7.37,7.29,7.3,7.34,7.31,7.28,7.26,7.51,7.77,8.05,8.05,23,7.93,7.93
Benin,BEN,583.409351431,601.799976959,625.830091976,706.053541901,820.151349819,793.452430031,757.695907409,825.942785363,837.950500075,915.267458596,943.686575031,783.947090952,789.440410686,5.91,6.0,6.28,6.15,5.99,6.12,6.1,6.05,5.81,6.14,6.22,5.67,6.06,6.0,=82,5.65,5.72
Burkina Faso,BFA,371.323086483,406.998807061,422.63323736,475.110012185,569.76127842,552.745552106,575.446452688,666.840278277,673.822700024,699.045284668,705.146411322,615.592225012,649.730483656,,5.85,5.84,6.0,5.92,5.89,5.93,5.95,5.83,6.08,6.02,4.7,3.59,3.52,112,4.09,4.7
Bangladesh,BGD,460.75791673,484.155407058,494.050146577,541.065148395,615.777541053,681.120536769,757.671757177,835.789340127,856.342857027,951.889453456,1084.5654298,1210.15812047,1358.77975225,5.77,6.08,6.25,6.14,6.15,6.37,6.43,6.41,6.33,6.42,6.35,5.73,5.86,5.86,84,5.78,5.73
Bulgaria,BGR,3381.50783656,3893.6899805,4513.13627954,5932.89967659,7296.12247859,6955.98773253,6843.26328885,7813.80349946,7378.02553944,7674.86055914,7853.33519086,6993.47735976,7350.7958009,6.81,6.95,7.1,7.11,7.18,7.33,7.32,7.38,7.38,7.35,7.39,7.01,6.78,6.72,53,6.73,7.14
