"Country","Rank Overall","Overall Score","Electoral process and pluralism","Functioning of government","Political participation", "Political culture","Civil liberties"
Norway,1,9.93,10.00,9.64,10.00,10.00,10.00
Sweden,2,9.73,9.58,9.64,9.44,10.00,10.00
Iceland,3,9.65,10.00,9.64,8.89,10.00,9.71
Denmark,4,9.52,10.00,9.64,8.89,9.38,9.71
New Zealand,5,9.26,10.00,9.29,8.89,8.13,10.00
Australia,6,9.22,10.00,8.93,7.78,9.38,10.00
Switzerland,7,9.09,9.58,9.29,7.78,9.38,9.41
Canada,8,9.08,9.58,9.29,7.78,8.75,10.00
Finland,9,9.06,10.00,9.64,7.22,8.75,9.71
Netherlands,10,8.99,9.58,8.93,8.89,8.13,9.41
Luxembourg,11,8.88,10.00,9.29,6.67,8.75,9.71
Austria,12,8.62,9.58,8.21,7.78,8.13,9.41
Ireland,13,8.56,9.58,7.86,7.22,8.13,10.00
Germany,14,8.34,9.58,8.21,6.67,8.13,9.12
Malta,15,8.28,9.17,8.21,5.56,8.75,9.71
United Kingdom,16,8.21,9.58,7.50,6.11,8.75,9.12
Czech Republic,17,8.19,9.58,7.14,6.67,8.13,9.41
Uruguay,=18,8.17,10.00,8.93,4.44,7.50,10.00
Mauritius,=18,8.17,9.17,8.21,5.00,8.75,9.71
South Korea,20,8.13,9.17,8.21,7.22,7.50,8.53
United States of America,21,8.11,9.17,7.50,7.22,8.13,8.53
Costa Rica,22,8.10,9.58,8.21,6.11,6.88,9.71
Japan,23,8.08,9.17,8.21,6.11,7.50,9.41
Belgium,24,8.05,9.58,8.21,5.56,7.50,9.41
Spain,25,8.02,9.58,7.50,6.11,7.50,9.41
Cape Verde,=26,7.92,9.17,7.86,7.22,6.25,9.12
Portugal,=26,7.92,9.58,6.43,6.67,7.50,9.41
France,=28,7.88,9.58,7.14,6.67,7.50,8.53
Slovenia,=28,7.88,9.58,7.50,7.22,6.25,8.82
Botswana,30,7.85,9.17,7.14,6.67,6.88,9.41
South Africa,31,7.79,8.75,8.21,7.22,6.25,8.53
Italy,32,7.74,9.58,6.43,6.67,7.50,8.53
Greece,33,7.65,9.58,5.71,6.67,6.88,9.41
Estonia,34,7.61,9.58,7.14,5.00,7.50,8.82
Taiwan,35,7.57,9.58,7.14,6.11,5.63,9.41
Chile,36,7.54,9.58,8.57,3.89,6.25,9.41
Israel,37,7.53,8.75,7.50,8.33,7.50,5.59
India,38,7.52,9.58,7.50,6.11,5.00,9.41
Jamaica,39,7.39,9.17,6.79,5.00,6.88,9.12
Slovakia,40,7.35,9.58,7.50,5.56,5.00,9.12
Cyprus,41,7.29,9.17,6.43,6.11,5.63,9.12
Lithuania,42,7.24,9.58,5.71,5.56,6.25,9.12
Timor-Leste,43,7.16,8.67,6.79,5.56,6.88,7.94
Poland,=44,7.12,9.58,6.43,6.11,4.38,9.12
Brazil,=44,7.12,9.58,7.50,5.00,4.38,9.12
Panama,46,7.08,9.58,6.43,5.56,5.00,8.82
Latvia,47,7.05,9.58,5.36,5.56,5.63,9.12
Trinidad and Tobago,48,6.99,9.58,7.14,5.00,5.00,8.24
Hungary,49,6.96,9.17,6.07,4.44,6.88,8.24
Croatia,50,6.93,9.17,6.07,5.56,5.63,8.24
Mexico,51,6.90,8.33,7.14,6.67,5.00,7.35
Argentina,52,6.84,8.75,5.71,5.56,6.25,7.94
Indonesia,53,6.76,6.92,7.50,6.11,5.63,7.65
Bulgaria,54,6.72,9.17,5.71,6.11,4.38,8.24
Lesotho,55,6.66,8.25,5.71,6.67,5.63,7.06
Suriname,56,6.65,9.17,6.43,4.44,5.00,8.24
Colombia,57,6.63,9.17,7.50,3.89,3.75,8.82
Thailand,58,6.55,7.83,6.07,5.56,6.25,7.06
Romania,59,6.54,9.58,6.07,4.44,4.38,8.24
Dominican Republic,60,6.49,8.75,5.36,4.44,6.25,7.65
