Country,Rank Overall,Overall Score,Electoral process and pluralism,Functioning of government,"Politica ,participation",Political culture,Civil liberties
Norway,1,9.93,10,9.64,10,10,10
Sweden,2,9.73,9.58,9.64,9.44,10,10
Iceland,3,9.65,10,9.64,8.89,10,9.71
Denmark,4,9.38,9.58,9.64,8.89,9.38,9.41
New Zealand,5,9.26,10,9.29,8.89,8.13,10
Australia,6,9.13,9.58,8.93,7.78,9.38,10
Switzerland,7,9.09,9.58,9.29,7.78,9.38,9.41
Canada,8,9.08,9.58,9.29,7.78,8.75,10
Finland,9,9.03,10,8.93,7.78,8.75,9.71
Luxembourg,10,8.88,10,9.29,6.67,8.75,9.71
Netherlands,11,8.84,9.58,8.21,8.89,8.13,9.41
Ireland,12,8.68,9.58,7.86,7.22,8.75,10
Austria,13,8.48,9.58,7.5,7.78,8.13,9.41
United Kingdom,14,8.31,9.58,7.14,6.67,8.75,9.41
Germany,15,8.31,9.58,7.5,7.22,8.13,9.12
Malta,16,8.28,9.17,8.21,5.56,8.75,9.71
Uruguay,17,8.17,10,8.93,4.44,7.5,10
Mauritius,17,8.17,9.17,8.21,5,8.75,9.71
United States,19,8.11,9.17,7.5,7.22,8.13,8.53
Japan,20,8.08,9.17,8.21,6.11,7.5,9.41
Czech Republic,21,8.06,9.58,7.14,6.67,7.5,9.41
South Korea,21,8.06,9.17,7.86,7.22,7.5,8.53
Belgium,23,8.05,9.58,8.21,5.56,7.5,9.41
Costa Rica,24,8.03,9.58,7.86,6.11,6.88,9.71
Spain,25,8.02,9.58,7.5,6.11,7.5,9.41
Botswana,26,7.98,9.17,7.14,6.67,7.5,9.41
France,27,7.92,9.58,6.79,7.22,7.5,8.53
Cape Verde,27,7.92,9.17,7.86,7.22,6.25,9.12
South Africa,29,8.75,8.21,7.78,7.22,6.25,8.53
Slovenia,30,7.88,9.58,7.5,6.25,6.25,8.82
Italy,31,7.85,9.58,6.43,7.22,7.5,8.53
Chile,32,7.8,9.58,8.93,3.89,6.88,9.71
India,33,7.69,9.58,7.14,6.67,5.63,9.41
Greece,34,7.65,9.58,5.71,6.67,6.88,9.41
Portugal,34,7.65,9.58,5.71,6.67,6.88,9.41
Estonia,36,7.61,9.58,7.14,5,7.5,8.82
Taiwan,37,7.57,9.58,7.14,6.11,5.63,9.41
Lithuania,38,7.54,9.58,6.07,6.11,6.25,9.71
Israel,39,7.53,8.75,7.5,8.33,7.5,5.59
Jamaica,40,7.39,9.17,6.79,5,6.88,9.12
Slovakia,41,7.35,9.58,7.5,5.56,5,9.12
Cyprus,42,7.29,9.17,6.43,6.11,5.63,9.12
Timor-Leste,43,7.24,8.67,7.14,5.56,6.88,7.94
Poland,44,7.12,9.58,6.43,6.11,4.38,9.12
Brazil,44,7.12,9.58,7.5,5,4.38,9.12
Panama,46,7.08,9.58,6.43,5.56,5,8.82
Latvia,47,7.05,9.58,5.36,5.56,5.63,9.12
Trinidad and Tobago,48,6.99,9.58,7.14,5,5,8.24
Hungary,49,6.96,9.17,6.07,4.44,6.88,8.24
Croatia,50,6.93,9.17,6.07,5.56,5.63,8.24
Mexico,51,6.91,8.75,6.79,6.67,5,7.35
Argentina,52,6.84,8.75,5.71,5.56,6.25,7.94
Bulgaria,53,6.83,9.17,5.71,6.67,4.38,8.24
Indonesia,54,6.82,6.92,7.5,6.67,6.25,6.76
Suriname,55,6.77,9.17,6.43,5,5,8.24
Dominican Republic,56,6.74,8.75,6.07,5,6.25,7.65
Serbia,57,6.67,9.17,5.71,6.11,5,7.35
Lesotho,58,6.66,8.25,5.71,6.67,5.63,7.06
Colombia,59,6.55,9.17,7.14,3.89,3.75,8.82
Romania,60,6.54,9.58,6.07,4.44,4.38,8.24
Peru,60,6.54,9.17,5,5,5,8.53
El Salvador,62,6.53,9.17,6.07,3.89,5,8.53
Mongolia,63,6.51,9.17,5.71,4.44,5,8.24
Malaysia,64,6.49,6.92,7.86,5.56,6.25,5.88
Hong Kong,65,6.42,4.75,6.07,5,6.88,9.41
Philippines,66,6.41,8.33,5.36,6.11,3.13,9.12
Papua New Guinea,67,6.36,7.33,6.07,3.89,6.25,8.24
Ghana,68,6.33,8.33,5.36,5.56,5.63,6.76
Moldova,69,6.32,8.75,5,5.56,4.38,7.94
Zambia,70,6.26,7.92,5.36,4.44,6.25,7.35
Paraguay,70,6.26,8.33,5.36,5,4.38,8.24
Thailand,72,6.25,7.83,6.07,5.56,5,6.76
