"Country","Rank","Overall Score","Electoral process and pluralism","Functioning of government","Political participation","Political culture","Civil liberties"
Norway,1,9.93,10.00,9.64,10.00,10.00,10.00
Iceland,2,9.58,10.00,9.29,8.89,10.00,9.71
Sweden,3,9.45,9.58,9.64,8.33,10.00,9.71
New Zealand,4,9.26,10.00,9.29,8.89,8.13,10.00
Denmark,5,9.11,9.17,9.29,8.33,9.38,9.41
Switzerland,6,9.09,9.58,9.29,7.78,9.38,9.41
Canada,7,9.08,9.58,9.29,7.78,8.75,10.00
Finland,8,9.03,10.00,8.93,7.78,8.75,9.71
Australia,9,9.01,9.58,8.93,7.78,8.75,10.00
Netherlands,10,8.92,9.58,8.57,8.89,8.13,9.41
Luxembourg,11,8.88,10.00,9.29,6.67,8.75,9.71
Ireland,12,8.85,9.58,7.50,7.78,9.38,10.00
Germany,13,8.64,9.58,8.57,7.78,8.13,9.12
Austria,14,8.54,9.58,7.86,8.33,7.50,9.41
Malta,15,8.39,9.17,8.21,6.11,8.75,9.71
United Kingdom,16,8.31,9.58,7.14,6.67,8.75,9.41
Spain,17,8.30,9.58,7.14,7.22,8.13,9.41
Mauritius,18,8.28,9.17,8.21,5.56,8.75,9.71
Uruguay,19,8.17,10.00,8.93,4.44,7.50,10.00
United States,20,8.05,9.17,7.50,7.22,8.13,8.24
Italy,21,7.98,9.58,6.43,7.22,8.13,8.53
South,Korea,22,7.97,8.75,7.86,7.22,7.50,8.53
Japan,=23,7.96,9.17,8.21,6.11,7.50,8.82
Costa Rica,=23,7.96,9.58,7.50,6.11,6.88,9.71
Czech Republic,25,7.94,9.58,7.14,6.67,6.88,9.41
Belgium,26,7.93,9.58,8.21,5.56,6.88,9.41
France,27,7.92,9.58,7.14,7.78,6.25,8.82
Botswana,28,7.87,9.17,7.14,6.11,7.50,9.41
Estonia,29,7.85,9.58,7.86,6.11,6.88,8.82
Chile,30,7.84,9.58,8.57,4.44,6.88,9.71
Taiwan,31,7.83,9.58,7.86,6.67,5.63,9.41
Cabo Verde,32,7.81,9.17,7.86,6.67,6.25,9.12
Portugal,33,7.79,9.58,6.43,6.67,6.88,9.41
Israel,34,7.77,9.17,7.14,8.89,7.50,6.18
India,35,7.74,9.58,7.14,7.22,5.63,9.12
Slovenia,36,7.57,9.58,7.14,6.67,5.63,8.82
South Africa,37,7.56,8.33,8.21,8.33,5.00,7.94
Lithuania,38,7.54,9.58,6.07,6.11,6.25,9.71
Cyprus,39,7.53,9.17,6.43,6.67,6.25,9.12
Greece,40,7.45,9.58,5.36,6.67,6.25,9.41
Jamaica,41,7.39,9.17,6.79,5.00,6.88,9.12
Latvia,42,7.37,9.58,5.71,5.56,6.88,9.12
Slovakia,43,7.29,9.58,7.50,5.56,5.00,8.82
Timor-Leste,44,7.24,8.67,7.14,5.56,6.88,7.94
Panama,45,7.19,9.58,6.43,6.11,5.00,8.82
Bulgaria,46,7.14,9.17,6.07,7.22,5.00,8.24
Trinidad and Tobago,47,7.10,9.58,7.14,5.56,5.00,8.24
Poland,48,7.09,9.58,5.71,6.67,4.38,9.12
Indonesia,49,7.03,7.75,7.14,6.67,6.25,7.35
Argentina,50,7.02,9.17,5.00,6.11,6.88,7.94
Brazil,51,6.96,9.58,6.79,5.56,3.75,9.12
Croatia,52,6.93,9.17,6.07,5.56,5.63,8.24
Ghana,53,6.86,8.33,5.71,6.67,6.25,7.35
Philippines,=54,6.84,8.33,5.71,6.67,4.38,9.12
Hungary,=54,6.84,9.17,6.07,4.44,6.88,7.65
Suriname,56,6.77,9.17,6.43,5.00,5.00,8.24
Tunisia,57,6.72,7.00,6.07,7.78,6.88,5.88
Serbia,58,6.71,9.17,5.36,6.67,5.00,7.35
Romania,59,6.68,9.17,5.71,5.00,5.00,8.53
Dominican Republic,60,6.67,8.75,5.71,5.00,6.25,7.65
El Salvador,61,6.64,9.17,6.07,4.44,5.00,8.53
Mongolia,=62,6.62,9.17,5.71,5.00,5.00,8.24
Colombia,=62,6.62,9.17,7.14,3.89,4.38,8.53
Lesotho,64,6.59,8.25,5.36,6.67,5.63,7.06
Peru,65,6.58,9.17,5.00,6.11,4.38,8.24
Mexico,66,6.55,8.33,6.07,7.22,4.38,6.76
Hong Kong,67,6.50,4.33,5.71,5.56,7.50,9.41
Malaysia,68,6.43,6.92,7.86,5.56,6.25,5.59
Sri Lanka,69,6.42,7.83,6.79,5.00,6.88,5.59
Moldova,70,6.35,7.92,4.29,6.67,4.38,8.53
Paraguay,71,6.33,8.33,5.71,5.00,4.38,8.24
Namibia,72,6.31,5.67,5.36,6.67,5.63,8.24
Zambia,73,6.28,7.92,5.36,3.89,6.88,7.35
Singapore,74,6.14,4.33,7.50,5.56,6.25,7.06
Senegal,75,6.08,7.92,5.36,4.44,5.63,7.06
Guyana,76,6.05,7.92,5.36,5.56,4.38,7.06
Papua New Guinea,77,6.03,6.92,6.07,3.89,5.63,7.65
Macedonia,78,6.02,7.33,4.64,6.11,4.38,7.65
Montenegro,79,6.01,7.92,5.71,5.00,4.38,7.06
Guatemala,80,5.92,7.92,6.07,3.89,4.38,7.35
Albania,81,5.91,7.00,4.36,5.56,5.00,7.65
Georgia,82,5.88,8.67,4.29,5.56,5.00,5.88
Ecuador,83,5.87,8.25,4.64,5.00,4.38,7.06
Honduras,84,5.84,8.75,5.71,3.89,4.38,6.47
Bolivia,85,5.75,7.00,5.36,5.00,3.75,7.65
Bangladesh,86,5.73,7.42,5.07,5.00,4.38,6.76
Benin,87,5.72,6.92,5.71,4.44,5.63,5.88
Ukraine,=88,5.70,5.83,3.93,6.67,5.00,7.06
Mali,=88,5.70,7.42,3.93,4.44,6.25,6.47
Fiji,90,5.69,4.58,5.71,6.67,5.63,5.88
Tanzania,91,5.58,7.00,5.00,5.00,5.63,5.29
Malawi,92,5.55,6.58,4.29,4.44,6.25,6.18
Kyrgyz Republic,=93,5.33,7.83,3.29,5.56,5.00,5.00
Kenya,=93,5.33,4.33,5.00,6.67,5.63,5.00
Nicaragua,95,5.26,6.17,3.29,4.44,5.63,6.76
Uganda,96,5.22,5.67,3.57,4.44,6.25,6.18
Turkey,97,5.12,6.67,5.36,5.00,5.63,2.94
Thailand,98,5.09,4.50,3.93,5.56,5.00,6.47
Venezuela,99,5.00,6.08,3.93,5.00,4.38,5.59
Liberia,100,4.95,7.83,0.79,5.56,5.00,5.59
Bhutan,101,4.93,8.33,5.36,2.78,4.38,3.82
Lebanon,102,4.86,4.42,2.14,7.78,4.38,5.59
Madagascar,103,4.85,5.50,2.86,5.56,5.63,4.71
Bosnia and Hercegovina,104,4.83,6.50,2.93,3.89,4.38,6.47
Nepal,105,4.77,3.92,4.29,4.44,5.63,5.59
Burkina,Faso,106,4.70,4.42,4.29,4.44,5.63,4.71
Morocco,107,4.66,4.75,4.64,3.89,5.63,4.41
Nigeria,108,4.62,6.08,4.29,3.33,5.00,4.41
Mozambique,109,4.60,4.42,3.57,5.56,5.63,3.82
Palestine,110,4.57,4.75,2.14,7.78,4.38,3.82
Sierra Leone,111,4.55,6.58,1.86,2.78,6.25,5.29
Pakistan,112,4.40,6.00,5.71,2.78,2.50,5.00
Cambodia,113,4.27,3.17,5.71,3.33,5.00,4.12
Myanmar,114,4.14,3.17,3.57,4.44,6.88,2.65
Iraq,115,4.08,4.33,0.07,7.22,4.38,4.41
Armenia,116,4.00,4.33,2.86,4.44,2.50,5.88
Mauritania,117,3.96,3.00,4.29,5.00,3.13,4.41
Algeria,118,3.95,3.00,2.21,3.89,6.25,4.41
Haiti,119,3.94,4.75,2.21,2.22,3.75,6.76
Jordan,120,3.86,3.58,3.93,3.89,4.38,3.53
Kuwait,=121,3.85,3.17,4.29,3.89,4.38,3.53
Niger,=121,3.85,6.25,1.14,2.78,4.38,4.71
Ethiopia,123,3.83,0.00,3.57,6.11,5.63,3.82
Gabon,124,3.76,3.00,2.21,4.44,5.00,4.12
Comoros,125,3.71,4.33,2.21,4.44,3.75,3.82
Cameroon,126,3.66,2.00,3.57,3.89,5.00,3.82
Belarus,127,3.62,1.75,3.57,3.89,6.25,2.65
Vietnam,128,3.53,0.00,3.93,3.89,6.88,2.94
Cuba,129,3.52,1.75,4.64,3.89,4.38,2.94
Togo,130,3.41,4.00,1.14,2.78,5.00,4.12
Angola,131,3.35,0.92,3.21,5.00,4.38,3.24
Côte d’Ivoire,=132,3.31,0.00,3.21,3.89,5.63,3.82
Russia,=132,3.31,2.67,2.86,5.00,2.50,3.53
Egypt,=134,3.18,3.00,2.86,3.33,3.75,2.94
Qatar,=134,3.18,0.00,3.93,2.22,5.63,4.12
Guinea,=136,3.14,3.50,0.43,4.44,4.38,2.94
